1,1,0,[1],[0]
2,2,19,[19, 810],[1, 0]
3,2,14,[19, 810],[1, 0]
4,1,0,[4],[0]
5,2,12,[19, 810],[1, 0]
6,2,13,[19, 810],[1, 0]
7,2,7,[19, 810],[1, 0]
8,2,14,[19, 810],[1, 0]
9,2,14,[19, 810],[1, 0]
10,2,8,[19, 810],[1, 0]
11,2,19,[19, 810],[1, 0]
12,2,8,[19, 810],[1, 0]
13,2,19,[19, 810],[1, 0]
14,2,15,[19, 810],[1, 0]
15,2,15,[19, 810],[1, 0]
16,2,15,[19, 810],[1, 0]
17,6,0,[17, 52, 107, 451, 808, 898],[1, 0, 1, 0, 0, 0]
18,2,15,[19, 810],[1, 0]
19,2,0,[19, 810],[1, 0]
20,2,15,[19, 810],[1, 0]
21,2,9,[19, 810],[1, 0]
22,2,20,[19, 810],[1, 0]
23,2,11,[19, 810],[1, 0]
24,2,15,[19, 810],[1, 0]
25,2,9,[19, 810],[1, 0]
26,2,16,[19, 810],[1, 0]
27,2,15,[19, 810],[1, 0]
28,2,20,[19, 810],[1, 0]
29,2,11,[19, 810],[1, 0]
30,2,9,[19, 810],[1, 0]
31,2,5,[19, 810],[1, 0]
32,2,9,[19, 810],[1, 0]
33,2,16,[19, 810],[1, 0]
34,2,1,[19, 810],[1, 0]
35,2,9,[19, 810],[1, 0]
36,2,9,[19, 810],[1, 0]
37,2,18,[19, 810],[1, 0]
38,2,10,[19, 810],[1, 0]
39,2,16,[19, 810],[1, 0]
40,2,20,[19, 810],[1, 0]
41,2,11,[19, 810],[1, 0]
42,2,9,[19, 810],[1, 0]
43,2,18,[19, 810],[1, 0]
44,2,16,[19, 810],[1, 0]
45,2,20,[19, 810],[1, 0]
46,2,10,[19, 810],[1, 0]
47,2,24,[19, 810],[1, 0]
48,2,20,[19, 810],[1, 0]
49,2,16,[19, 810],[1, 0]
50,2,9,[19, 810],[1, 0]
51,2,16,[19, 810],[1, 0]
52,6,0,[17, 52, 107, 451, 808, 898],[1, 0, 1, 0, 0, 0]
53,2,23,[19, 810],[1, 0]
54,2,20,[19, 810],[1, 0]
55,2,16,[19, 810],[1, 0]
56,2,20,[19, 810],[1, 0]
57,2,21,[19, 810],[1, 0]
58,2,6,[19, 810],[1, 0]
59,2,13,[19, 810],[1, 0]
60,2,9,[19, 810],[1, 0]
61,2,18,[19, 810],[1, 0]
62,2,17,[19, 810],[1, 0]
63,2,20,[19, 810],[1, 0]
64,2,9,[19, 810],[1, 0]
65,2,16,[19, 810],[1, 0]
66,2,16,[19, 810],[1, 0]
67,2,13,[19, 810],[1, 0]
68,2,10,[19, 810],[1, 0]
69,2,17,[19, 810],[1, 0]
70,2,16,[19, 810],[1, 0]
71,2,15,[19, 810],[1, 0]
72,2,9,[19, 810],[1, 0]
73,2,2,[19, 810],[1, 0]
74,2,17,[19, 810],[1, 0]
75,2,20,[19, 810],[1, 0]
76,2,12,[19, 810],[1, 0]
77,2,16,[19, 810],[1, 0]
78,2,16,[19, 810],[1, 0]
79,2,18,[19, 810],[1, 0]
80,2,20,[19, 810],[1, 0]
81,2,9,[19, 810],[1, 0]
82,2,19,[19, 810],[1, 0]
83,2,18,[19, 810],[1, 0]
84,2,16,[19, 810],[1, 0]
85,2,21,[19, 810],[1, 0]
86,2,21,[19, 810],[1, 0]
87,2,10,[19, 810],[1, 0]
88,6,1,[17, 52, 107, 451, 808, 898],[1, 0, 1, 0, 0, 0]
89,2,17,[19, 810],[1, 0]
90,2,20,[19, 810],[1, 0]
91,2,16,[19, 810],[1, 0]
92,2,16,[19, 810],[1, 0]
93,2,2,[19, 810],[1, 0]
94,2,17,[19, 810],[1, 0]
95,2,16,[19, 810],[1, 0]
96,2,20,[19, 810],[1, 0]
97,2,12,[19, 810],[1, 0]
98,2,16,[19, 810],[1, 0]
99,6,1,[17, 52, 107, 451, 808, 898],[1, 0, 1, 0, 0, 0]
100,2,16,[19, 810],[1, 0]
